Tahiti Completion Time (ms);Devastator Completion Time (ms);AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms);Matrix Width (elements);Matrix Height (elements);Filter Width (elements);Filter Height (elements);Branch count (per thread);Read accesses to global memory (per thread);Write accesses to global memory (per thread);Read accesses to local memory (per thread);Write accesses to local memory (per thread);Read accesses to constant memory (per thread);Arithmetic operations (per thread);Logic operations (per thread);Bitwise operations (per thread);Comparison operations (per thread);Pown operations (per thread);Sqrt operations (per thread);Hypot operations (per thread);Data size transf from host to device (bytes);Data size transf from device to host (bytes);Data size allocated locally (bytes);Global work size dim 1 (number of threads);Global work size dim 2 (number of threads);Global work size dim 3 (number of threads);Local work size dim 1 (number of threads);Local work size dim 2 (number of threads);Local work size dim 3 (number of threads);Kernel calls;Computation density;Memory access density
13,35;20,34;87,83;1856;1856;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;13898308;13778944;0;1856;1856;1;16;16;1;1;56,256;10,081
14,22;21,79;93,74;1920;1920;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;14869060;14745600;0;1920;1920;1;16;16;1;1;56,264;10,083
15,04;22,76;100,12;1984;1984;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;15872580;15745024;0;1984;1984;1;16;16;1;1;56,272;10,084
15,90;25,01;106,85;2048;2048;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;16908868;16777216;0;2048;2048;1;16;16;1;1;56,279;10,085
3,89;3,79;3,66;64;64;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;22388;16384;0;64;64;1;16;16;1;1;69,936;12,783
4,22;4,87;6,05;128;128;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;76660;65536;0;128;128;1;16;16;1;1;76,276;13,942
3,65;4,24;6,08;192;192;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;163700;147456;0;192;192;1;16;16;1;1;78,430;14,335
4,64;4,47;6,86;256;256;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;283508;262144;0;256;256;1;16;16;1;1;79,510;14,533
4,40;5,38;8,12;320;320;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;436084;409600;0;320;320;1;16;16;1;1;80,159;14,651
4,54;5,49;9,93;384;384;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;621428;589824;0;384;384;1;16;16;1;1;80,591;14,730
4,63;5,49;12,71;448;448;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;839540;802816;0;448;448;1;16;16;1;1;80,900;14,787
4,57;6,25;16,46;512;512;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;1090420;1048576;0;512;512;1;16;16;1;1;81,131;14,829
4,77;6,29;18,57;576;576;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;1374068;1327104;0;576;576;1;16;16;1;1;81,311;14,862
5,17;6,58;21,74;640;640;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;1690484;1638400;0;640;640;1;16;16;1;1;81,455;14,888
5,50;7,39;26,82;704;704;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;2039668;1982464;0;704;704;1;16;16;1;1;81,573;14,910
5,74;8,29;29,51;768;768;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;2421620;2359296;0;768;768;1;16;16;1;1;81,671;14,928
5,84;8,21;34,47;832;832;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;2836340;2768896;0;832;832;1;16;16;1;1;81,754;14,943
5,81;9,38;39,98;896;896;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;3283828;3211264;0;896;896;1;16;16;1;1;81,826;14,956
6,38;10,15;45,04;960;960;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;3764084;3686400;0;960;960;1;16;16;1;1;81,887;14,967
6,93;10,87;51,57;1024;1024;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;4277108;4194304;0;1024;1024;1;16;16;1;1;81,941;14,977
7,43;11,33;56,48;1088;1088;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;4822900;4734976;0;1088;1088;1;16;16;1;1;81,989;14,986
7,43;12,26;63,88;1152;1152;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;5401460;5308416;0;1152;1152;1;16;16;1;1;82,031;14,994
7,68;13,85;71,57;1216;1216;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;6012788;5914624;0;1216;1216;1;16;16;1;1;82,069;15,001
8,25;14,87;78,26;1280;1280;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;6656884;6553600;0;1280;1280;1;16;16;1;1;82,103;15,007
8,78;15,90;87,53;1344;1344;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;7333748;7225344;0;1344;1344;1;16;16;1;1;82,134;15,012
9,57;16,98;95,47;1408;1408;11;11;0;121;1;0;0;121;662;0;0;0;0;0;0;8043380;7929856;0;1408;1408;1;16;16;1;1;82,162;15,018
